,repository_name,language
0,.github,
1,aegisthus,Java
2,af_tsa,C
3,aminator,Python
4,archaius,Java
5,asgard,Groovy
6,astyanax,Java
7,atlas,Scala
8,atlas-docs,Python
9,aws-autoscaling,Shell
10,awsobjectmapper,Groovy
11,batch_request_api,Ruby
12,batch_request_client,Ruby
13,bbparse,C
14,bettertls,Go
15,blesk,JavaScript
16,bless,Python
17,blitz4j,Java
18,bpftop,C
19,brutal,Python
20,cachemover,C++
21,CassJMeter,Java
22,chaosmonkey,Go
23,Cloud-Prize,
24,clove,Python
25,codec_compare,Python
26,concurrency-limits,Java
27,conductor,Java
28,conductor-community,Java
29,conductor-docs,Python
30,conductor-ui,JavaScript
31,consoleme,Python
32,curator,Java
33,denominator,Java
34,derand,Java
35,dgs,HTML
36,dgs-codegen,Kotlin
37,dgs-examples-java,Java
38,dgs-examples-java-2.7,Java
39,dgs-examples-java.latest,Java
40,dgs-examples-java16,Java
41,dgs-examples-kotlin,Kotlin
42,dgs-examples-kotlin-2.7,Kotlin
43,dgs-examples-webflux,Java
44,dgs-federation-example,Kotlin
45,dgs-framework,Kotlin
46,dgs-intellij-plugin,Kotlin
47,dial-reference,C
48,dispatch,Python
49,dispatch-docker,Shell
50,dyno,Java
51,dyno-queues,Java
52,dynomite,C
53,dynomite-manager,Java
54,e2nest,Python
55,eclipse-jifa,Java
56,eclipse-mat,
57,edda,Scala
58,edda-client,Java
59,element-server,JavaScript
60,ember-batch-request,JavaScript
61,ember-nf-graph,JavaScript
62,ember-nf-graph-examples,JavaScript
63,eslint-config-netflix,Shell
64,eslint-config-netflix-dea,JavaScript
65,eureka,Java
66,eureka-ui,JavaScript
67,EVCache,Java
68,fabricator,Java
69,falcor,JavaScript
70,falcor-datasource-chainer,JavaScript
71,falcor-express,JavaScript
72,falcor-express-demo,HTML
73,falcor-hapi,JavaScript
74,falcor-hapi-demo,HTML
75,falcor-http-datasource,JavaScript
76,falcor-json-graph,JavaScript
77,falcor-observable,JavaScript
78,falcor-path-syntax,JavaScript
79,falcor-path-utils,JavaScript
80,falcor-restify,JavaScript
81,falcor-restify-demo,HTML
82,falcor-router,JavaScript
83,falcor-router-demo,JavaScript
84,fast_jsonapi,Ruby
85,Fenzo,Java
86,Fido,C#
87,flamescope,Python
88,frigga,Java
89,genie,Java
90,glisten,Groovy
91,go-env,Go
92,go-expect,Go
93,go-iomux,Go
94,governator,Java
95,gradle-template,Java
96,hal-9001,Go
97,hollow,Java
98,hollow-reference-implementation,Java
99,hubcommander,Python
100,Hystrix,Java
101,iceberg,Java
102,iceberg-python,Python
103,iep,Java
104,iep-shadow,
105,image_compression_comparison,Python
106,inviso,JavaScript
107,karyon,Java
108,lemur,Python
109,lemur-docker,Python
110,libamicontained,Rust
111,Lipstick,JavaScript
112,mantis,Java
113,mantis-api,Java
114,mantis-cli,JavaScript
115,mantis-connectors,Java
116,mantis-control-plane,Java
117,mantis-examples,Java
118,mantis-gradle-plugin,Groovy
119,mantis-helm,Smarty
120,mantis-mql,Clojure
121,mantis-rxcontrol,Java
122,mantis-rxnetty,
123,mantis-source-jobs,Java
124,mantis-ui,TypeScript
125,matchcut,Jupyter Notebook
126,metacat,Java
127,metaflow,Python
128,metaflow-docs,JavaScript
129,metaflow-extensions-template,Python
130,metaflow-nflx-extensions,Python
131,metaflow-service,Python
132,metaflow-tools,HCL
133,metaflow-ui,TypeScript
134,metrics-client-go,Go
135,msl,C++
136,ndbench,HTML
137,nerror,JavaScript
138,netflix-commons,Java
139,netflix-graph,Java
140,netflix.github.com,HTML
141,netflixoss-npm-build-infrastructure,
142,nf-data-explorer,TypeScript
143,nflx-geofeed,
144,nflxprofile,Python
145,NfWebCrypto,C++
146,Nicobar,Java
147,ocelli,Java
148,octodns,
149,octodns-ns1,Python
150,octodns-route53,
151,octodns-ultra,Python
152,OpenVPCal,Python
153,osstracker,Scala
154,p2plab,Go
155,photon,Java
156,PigPen,Clojure
157,pollyjs,JavaScript
158,polynote,HTML
159,Prana,Java
160,Priam,Java
161,probnik,TypeScript
162,pygenie,Python
163,pytheas,JavaScript
164,q,Java
165,Raigad,Java
166,ReactiveLab,Java
167,reactivesocket-examples,Java
168,read_bbrlog,C
169,recipes-rss,Java
170,rend,Go
171,rend-http,Go
172,rend-lmdb,Go
173,repokid,Python
174,restful-jsonapi,Ruby
175,ribbon,Java
176,runtime-health,Java
177,rx-aws-java-sdk,Java
178,s3mper,Java
179,security-bulletins,
180,security_monkey,Python
181,servo,Java
182,sherlock,R
183,signal-wrapper,Go
184,SimianArmy,Java
185,sleepy-puppy-docker,Dockerfile
186,spark,Scala
187,spectator,Java
188,spectator-cpp,C++
189,spectator-go,Go
190,spectator-go-runtime-metrics,Go
191,spectator-js,JavaScript
192,spectator-py,Python
193,spectator-rb,Ruby
194,staash,Java
195,sureal,Python
196,suro,Java
197,Surus,Java
198,taskintrospection,C
199,tcplog_dumper,C
200,techreports,
201,titus,
202,titus-api-definitions,Makefile
203,titus-control-plane,Java
204,titus-executor,Go
205,titus-kube-common,Go
206,tslint-config-netflix,JavaScript
207,Turbine,Java
208,unleash,JavaScript
209,user2020-metaflow-tutorial,R
